StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,CONSENT,GENDER,EDU,COMUNIDAD_AUTÓNOMA,AGE_CAT,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,KNOW_EDU,KNOW_HELP,AI,FOLLOW,IDEO_1,PPID_1,PPID_2,PPID_3,PPID_4,CHECK,CHECK_6_TEXT,UNEM_3_1,UNEM_3_2,UNEM_3_3,IMM_3_1,IMM_3_2,IMM_3_3,CATAL_3_1,CATAL_3_2,CATAL_3_3,FAIR,BIASED,TRUST,AGREE,CIVIL_FAIR,CIVIL_BIASED,CIVIL_TRUST,CIVIL_AGREE,FACTS_FAIR,FACTS_BIASED,FACTS_TRUST,FACTS_AGREE,DEC_FAIR,DEC_BIASED,DEC_TRUST,DEC_AGREE,IMM_AGREE,IMM_QUALITY,IMM_CRED,IMM_BIASED,BEN_AGREE,BEN_QUALITY,BEN_CRED,BEN_BIASED,TE_AGREE,TE_QUALITY,TE_CRED,TE_BIASED,INCOME,AGE,OPEN,condition,pro,pid,psid,screen,SCENARIO_01,SCENARIO_02,SCENARIO_03,SCENARIO_04,SCENARIO_05,SCENARIO_06,SCENARIO_07,SCENARIO_08,SCENARIO_09,SCENARIO_10,SCENARIO_11,Create New Field or Choose From Dropdown...,ideology,own_imm_lib,own_unem_lib,own_catal_lib,imm_lib,unem_lib,catal_lib
12/18/2019 7:39,12/18/2019 7:48,0,83.58.171.29,100,529,1,12/18/2019 7:48,R_3HSWdqPE362II8x,,,,,41.65339661,-4.723403931,anonymous,EN,1,2,5,13,3,4,4,4,4,1,3,"1,2,8,9",21,2,7,7,6,6,2,,6,6,6,4,5,5,1,2,1,4,4,4,7,7,7,7,7,4,5,5,5,1,2,1,1,7,7,7,7,7,7,7,7,5,5,7,7,5,30,,3,1,1643650416,OXBbUeeV77EO66g-31znEw**,,moderador con la ayuda de Inteligencia Artificial,una persona con la ayuda de Inteligencia Artificial,moderador ayudado por Inteligencia Artificial,editores y periodistas ayudados por Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial actuarían,los editores y periodistas ayudados por Inteligencia Artificial serían,unos editores y periodistas ayudados por Inteligencia Artificial recomienden,una persona que con la ayuda de Inteligencia Artificial,esta persona ayudada por Inteligencia Artificial,la misma persona que con la ayuda de Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial serían políticamente objetivos e imparciales,,izquierdas,4.666666667,6,1.333333333,1,1,1
12/18/2019 7:39,12/18/2019 7:42,0,47.61.121.1,100,181,1,12/18/2019 7:42,R_1pSw0c2VYuNnDTN,,,,,43.26260376,-2.923797607,anonymous,EN,1,1,3,16,2,4,3,4,4,4,3,"1,2,4,7,8,10",8,8,4,3,3,4,2,,10,8,10,10,7,10,8,11,10,5,6,5,5,5,5,4,3,5,5,5,5,5,6,5,4,5,4,4,4,4,3,2,3,5,5,4,4,6,18,No,3,0,1486022923,OXBbUeeV77Fpf4VczxssJA**,,moderador con la ayuda de Inteligencia Artificial,una persona con la ayuda de Inteligencia Artificial,moderador ayudado por Inteligencia Artificial,editores y periodistas ayudados por Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial actuarían,los editores y periodistas ayudados por Inteligencia Artificial serían,unos editores y periodistas ayudados por Inteligencia Artificial recomienden,una persona que con la ayuda de Inteligencia Artificial,esta persona ayudada por Inteligencia Artificial,la misma persona que con la ayuda de Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial serían políticamente objetivos e imparciales,,derechas,9,9.333333333,9.666666667,1,1,1
12/18/2019 7:39,12/18/2019 7:43,0,83.49.200.57,100,200,1,12/18/2019 7:43,R_DtJylbferonKkud,,,,,41.65339661,-4.723403931,anonymous,EN,1,1,4,8,2,5,5,4,5,"1,4",4,"1,2,3,5,6,9",20,4,4,5,4,4,2,,8,10,10,11,8,11,9,10,1,5,4,4,3,5,5,4,3,4,3,3,5,6,3,4,4,6,3,5,4,4,5,3,5,5,4,4,5,6,22,nada,1,1,1486072115,OXBbUeeV77Esw0Yws-o2yQ**,,programa de Inteligencia Artificial,programa de Inteligencia Artificial,programa de Inteligencia Artificial,un programa de Inteligencia Artificial,el programa de Inteligencia Artificial actuaría,el programa de Inteligencia Artificial sería,un programa de Inteligencia Artificial recomiende,un programa de Inteligencia Artificial que,este programa de Inteligencia Artificial,el mismo programa de Inteligencia Artificial que,el programa de Inteligencia Artificial sería políticamente objetivo e imparcial,,izquierdas,10,9.333333333,6.666666667,0,0,1
12/18/2019 7:39,12/18/2019 12:02,0,83.55.162.79,100,15757,1,12/18/2019 12:02,R_2wB2dWrRTLcILK2,,,,,40.41430664,-3.701599121,anonymous,EN,1,2,5,13,3,5,3,3,3,5,4,11,21,1,7,5,7,1,2,,1,1,1,1,1,1,4,5,1,4,5,4,7,7,6,6,7,4,4,4,4,3,3,4,2,7,4,4,4,6,6,6,5,6,7,6,5,8,26,No,2,1,1486070861,OXBbUeeV77FbpEZDkJeiYg**,,moderador,persona,moderador,editores y periodistas,los editores y periodistas actuarían,los editores y periodistas serían,unos editores y periodistas recomienden,una persona que,esta persona,la misma persona que,los editores y periodistas serían políticamente objetivos e imparciales,,izquierdas,1,1,3.333333333,1,1,1
12/18/2019 7:39,12/18/2019 7:47,0,88.0.106.154,100,482,1,12/18/2019 7:47,R_1lhLiXbOr1aOtQw,,,,,40.60090637,-3.708099365,anonymous,EN,1,2,3,13,5,3,1,2,3,5,2,"1,8",20,5,5,5,5,4,2,,5,7,4,4,5,4,10,8,5,5,4,6,6,6,6,6,6,5,6,5,6,5,6,6,5,2,2,2,2,3,3,3,3,3,4,4,3,6,48,,3,0,1486050747,OXBbUeeV77H4oE2ll_7fWg**,,moderador con la ayuda de Inteligencia Artificial,una persona con la ayuda de Inteligencia Artificial,moderador ayudado por Inteligencia Artificial,editores y periodistas ayudados por Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial actuarían,los editores y periodistas ayudados por Inteligencia Artificial serían,unos editores y periodistas ayudados por Inteligencia Artificial recomienden,una persona que con la ayuda de Inteligencia Artificial,esta persona ayudada por Inteligencia Artificial,la misma persona que con la ayuda de Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial serían políticamente objetivos e imparciales,,centro,4.333333333,5.333333333,7.666666667,0,0,1
12/18/2019 7:46,12/18/2019 7:57,0,31.177.97.1,100,665,1,12/18/2019 7:57,R_aaxKQbkdt7mH3uF,,,,,40.41720581,-3.684005737,anonymous,EN,1,2,5,1,2,5,2,2,4,"1,4",4,"1,3,4,5,7,8,9,10",20,0,7,4,7,4,2,,1,1,2,1,3,1,7,7,7,4,6,4,5,7,7,6,6,4,4,4,5,5,6,5,5,6,5,5,5,6,5,5,5,4,5,5,5,4,16,"Me ha parecido muy interesante la unión de IA y contenido político, considero que es bastante relevante en el contexto social actual.",3,1,1561657554,OXBbUeeV77FaloCYhoLwLQ**,,moderador con la ayuda de Inteligencia Artificial,una persona con la ayuda de Inteligencia Artificial,moderador ayudado por Inteligencia Artificial,editores y periodistas ayudados por Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial actuarían,los editores y periodistas ayudados por Inteligencia Artificial serían,unos editores y periodistas ayudados por Inteligencia Artificial recomienden,una persona que con la ayuda de Inteligencia Artificial,esta persona ayudada por Inteligencia Artificial,la misma persona que con la ayuda de Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial serían políticamente objetivos e imparciales,,izquierdas,1.666666667,1.333333333,7,1,1,1
12/18/2019 7:46,12/18/2019 7:52,0,178.237.227.11,100,386,1,12/18/2019 7:52,R_3iJYss3EodAq3IL,,,,,39.47050476,-0.376495361,anonymous,EN,1,2,3,17,3,5,4,4,5,1,3,"1,4,6,8,9",8,6,1,2,2,1,2,,8,7,7,6,8,9,8,6,7,4,6,5,4,6,6,5,5,4,3,4,4,6,5,4,5,6,3,4,5,2,2,1,1,4,4,4,5,5,27,no,2,1,1485978632,OXBbUeeV77HyLoVexlLe6Q**,,moderador,persona,moderador,editores y periodistas,los editores y periodistas actuarían,los editores y periodistas serían,unos editores y periodistas recomienden,una persona que,esta persona,la misma persona que,los editores y periodistas serían políticamente objetivos e imparciales,,derechas,7.666666667,7.333333333,7,0,0,0
12/18/2019 7:49,12/18/2019 8:02,0,195.235.211.87,100,797,1,12/18/2019 8:02,R_1HiXjykTK7tYK0A,,,,,41.38909912,2.161102295,anonymous,EN,1,2,3,9,4,2,1,1,4,5,2,11,6,1,7,6,7,6,2,,2,2,1,2,3,4,1,1,1,6,6,5,5,7,6,6,7,5,5,5,5,2,4,4,3,2,2,2,2,1,1,1,1,2,2,2,2,8,41,,3,0,1672053407,OXBbUeeV77Hd5pO0vekWjw**,,moderador con la ayuda de Inteligencia Artificial,una persona con la ayuda de Inteligencia Artificial,moderador ayudado por Inteligencia Artificial,editores y periodistas ayudados por Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial actuarían,los editores y periodistas ayudados por Inteligencia Artificial serían,unos editores y periodistas ayudados por Inteligencia Artificial recomienden,una persona que con la ayuda de Inteligencia Artificial,esta persona ayudada por Inteligencia Artificial,la misma persona que con la ayuda de Inteligencia Artificial,los editores y periodistas ayudados por Inteligencia Artificial serían políticamente objetivos e imparciales,,izquierdas,3,1.666666667,1,0,0,0
12/18/2019 7:49,12/18/2019 7:55,0,212.128.104.215,100,362,1,12/18/2019 7:55,R_snxY2996oSJXHPz,,,,,40.41430664,-3.701599121,anonymous,EN,1,1,4,13,5,5,4,4,5,4,4,"1,2,3,8,9",21,1,6,5,6,6,2,,3,3,3,2,3,3,2,4,3,4,4,4,4,4,3,5,5,5,3,5,5,2,2,2,2,6,6,6,3,1,6,6,3,5,5,5,3,6,44,,2,1,1622839459,OXBbUeeV77EKa0YfYWs5TA**,,moderador,persona,moderador,editores y periodistas,los editores y periodistas actuarían,los editores y periodistas serían,unos editores y periodistas recomienden,una persona que,esta persona,la misma persona que,los editores y periodistas serían políticamente objetivos e imparciales,,izquierdas,2.666666667,3,3,1,1,1
12/18/2019 7:52,12/18/2019 7:59,0,88.0.170.189,100,444,1,12/18/2019 7:59,R_1DThqpXBYVj7sa3,,,,,42.87989807,-8.547302246,anonymous,EN,1,1,4,11,5,5,3,3,5,5,3,"1,2,4,5,6,7,8,9,10",21,4,5,4,6,5,2,,2,2,1,2,2,2,13,10,10,6,5,4,6,5,5,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,7,47,n0,2,0,1524472144,OXBbUeeV77FVvDSW5u_ISA**,,moderador,persona,moderador,editores y periodistas,los editores y periodistas actuarían,los editores y periodistas serían,unos editores y periodistas recomienden,una persona que,esta persona,la misma persona que,los editores y periodistas serían políticamente objetivos e imparciales,,izquierdas,2,1.666666667,11,0,0,1
