StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q75,GENDER,EDU,RACE,RACE_7_TEXT,AGE_CAT,PARTY7,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,KNOW_EDU,KNOW_HELP,AI,FOLLOW,IDEO_1,PPID_1,PPID_2,PPID_3,PPID_4,CHECK,CHECK_6_TEXT,BEN_3_1,BEN_3_2,BEN_3_3,IMM_3_1,IMM_3_2,IMM_3_3,TRUMP_ECON_3_1,TRUMP_ECON_3_2,TRUMP_ECON_3_3,FAIR,BIASED,TRUST,AGREE,CIVIL_FAIR,CIVIL_BIASED,CIVIL_TRUST,CIVIL_AGREE,FACTS_FAIR,FACTS_BIASED,FACTS_TRUST,FACTS_AGREE,DEC_FAIR,DEC_BIASED,DEC_TRUST,DEC_AGREE,IMM_AGREE,IMM_QUALITY,IMM_CRED,IMM_BIASED,BEN_AGREE,BEN_QUALITY,BEN_CRED,BEN_BIASED,TE_AGREE,TE_QUALITY,TE_CRED,TE_BIASED,OPEN,AGE,RELIGION,RELIGION_11_TEXT,BORN_AGAIN,INCOME,condition,pro,pid,psid,screen,caps_person_mod,lc_moderator,caps_moderator,lc_trained,lc_person,lc_journo,lc_journo_verb,lc_person_pronoun,lc_no_artilce,lc_analysis,lc_person_pronoun_no_article,lc_write_gen,lc_write_gen_post,lc_this_person,lc_wrote_gen_post,lc_generating,lc_this_mod,party,own_imm_lib,own_ben_lib,own_trump_lib,imm_lib,ben_lib,trump_lib
11/27/2019 16:52,11/27/2019 17:05,0,24.207.212.236,100,742,1,11/27/2019 17:05,R_Wul4dCVBQFg3QSR,,,,,38.57530212,-90.26509857,anonymous,EN,1,2,3,4,,5,1,1,1,1,3,5,3,"7,8,9,10",7,0,7,6,7,5,2,,1,1,1,1,1,1,1,1,1,6,2,7,7,6,6,7,7,4,4,3,4,3,6,3,2,1,1,1,7,1,1,1,1,1,4,3,1,,55,1,,2,13,3,0,1245916926,KS_G9QDMwM3885_c7HSlaA**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,1,1,1,0,0,0
11/27/2019 19:52,11/27/2019 20:03,0,76.185.137.202,100,661,1,11/27/2019 20:03,R_30pFB0MblZNAgI9,,,,,29.46980286,-98.53569794,anonymous,EN,1,1,6,1,,2,1,4,4,4,4,"1,4",4,"1,2,7,8,9,10",21,0,7,7,7,5,2,,1,1,1,1,1,1,1,1,1,5,4,5,6,7,5,6,5,6,5,5,5,6,6,6,6,5,6,7,6,1,1,1,1,1,1,1,1,,25,10,,,12,1,0,1638669594,KS_G9QDMwM0nu1SWAhKB3A**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Democrat,1,1,1,0,0,0
11/28/2019 10:34,11/28/2019 10:40,0,24.90.234.50,100,417,1,11/28/2019 10:41,R_295KRGE7ZJQtXjI,,,,,40.71569824,-74,anonymous,EN,1,2,2,5,,5,1,5,5,2,5,5,3,"1,2,8,9,10",21,0,7,7,7,7,2,,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,4,4,4,4,6,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,,57,12,,,2,3,0,1507337652,KS_G9QDMwM04NllT4LZy2Q**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,1,1,1,0,0,0
11/28/2019 11:43,11/28/2019 11:54,0,66.176.117.113,100,610,1,11/28/2019 11:54,R_3kpI7yfxordOAtQ,,,,,25.77029419,-80.2071991,anonymous,EN,1,2,5,5,,6,1,5,5,1,5,5,4,"1,7,9,10",21,0,7,6,7,2,2,,1,1,1,1,3,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,,70,9,,,14,1,0,1455725716,KS_G9QDMwM3cRp9tIyYa0A**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Democrat,1.666666667,1,1,0,0,0
11/28/2019 12:32,11/28/2019 12:49,0,136.49.116.67,100,1034,1,11/28/2019 12:49,R_BLkDhQjvCvMiarv,,,,,30.26229858,-97.74649811,anonymous,EN,1,1,6,6,,6,1,3,3,3,3,2,3,"3,5,7,8",20,0,7,6,7,5,2,,2,3,1,3,1,1,3,3,7,3,6,4,3,4,5,5,6,3,4,2,5,6,6,6,6,3,2,3,2,3,3,3,2,1,1,1,1,,71,10,,,25,3,0,1503673496,KS_G9QDMwM3S5aMoiQjogQ**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,1.666666667,2,4.333333333,0,0,0
11/28/2019 13:02,11/28/2019 13:27,0,142.196.116.145,100,1445,1,11/28/2019 13:27,R_2RQ7ut6R7KVhYUy,,,,,28.30560303,-81.41970062,anonymous,EN,1,2,5,5,,6,5,3,3,2,2,5,3,"1,2,3,4,5,6,7,8,10",8,0,4,4,4,3,2,,1,1,1,2,5,5,11,11,11,4,5,1,4,4,4,4,4,5,4,3,4,4,4,3,4,4,4,3,4,1,5,6,6,3,3,2,1,,69,2,,2,9,2,1,1643294367,KS_G9QDMwM1jpuwaTHelSA**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,Republican,4,1,11,1,1,0
11/28/2019 13:40,11/28/2019 13:54,0,67.247.32.180,100,848,1,11/28/2019 13:54,R_2YKu6Yl7xUpjVbL,,,,,40.80000305,-73.9763031,anonymous,EN,1,1,3,5,,5,1,4,4,4,4,4,2,4,7,0,7,7,7,5,2,,13,1,1,1,1,1,11,9,9,7,1,7,7,7,1,7,7,4,1,4,6,7,7,7,7,4,4,4,4,1,1,1,7,6,6,7,1,,56,1,,1,3,3,0,1510584686,KS_G9QDMwM04IEJYO30fBg**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,1,5,9.666666667,0,0,1
11/28/2019 14:14,11/28/2019 14:20,0,76.89.129.152,100,374,1,11/28/2019 14:20,R_ODqM3JwAnx1hbBn,,,,,34.14830017,-118.0016022,anonymous,EN,1,2,5,6,,5,1,3,1,1,1,5,3,"1,3,6,7",21,0,6,6,6,6,2,,3,3,3,2,3,2,2,2,2,7,7,7,7,6,6,6,6,2,2,2,2,6,6,6,6,1,1,1,1,2,2,2,2,1,1,1,1,,63,1,,2,13,1,0,1377791342,KS_G9QDMwM1a9h-802X2xg**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Democrat,2.333333333,3,2,0,0,0
11/28/2019 18:20,11/28/2019 18:35,0,73.13.135.111,100,908,1,11/28/2019 18:35,R_3OqSRIKpbj5qgmK,,,,,40.03779602,-75.06929779,anonymous,EN,1,2,2,5,,3,1,2,5,1,2,5,1,11,8,0,4,4,7,4,2,,1,1,1,1,1,1,1,1,1,7,7,2,7,6,7,2,6,2,4,2,4,5,5,4,4,1,1,1,1,1,1,1,1,2,1,1,1,,36,12,,,8,3,0,1502434222,KS_G9QDMwM1a-9qd3E0ahw**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,1,1,1,0,0,0
11/30/2019 14:13,11/30/2019 14:19,0,68.99.163.48,100,330,1,11/30/2019 14:19,R_1jpORj4GiTdFdIL,,,,,37.29159546,-76.4905014,anonymous,EN,1,2,5,6,,3,4,5,5,5,5,5,2,"3,4",21,0,7,7,7,1,2,,1,1,1,1,13,13,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,4,1,4,7,7,4,4,7,7,4,4,1,1,1,1,,38,13,,2,20,1,1,1668132652,KS_G9QDMwM358TRMv1xjgg**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,independent,9,1,1,0,1,1
