StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q75,GENDER,EDU,RACE,RACE_7_TEXT,AGE_CAT,SOCIAL_1,SOCIAL_2,SOCIAL_3,SOCIAL_4,KNOW_EDU,KNOW_HELP,AI,FOLLOW,IDEO_1,PARTY7,PPID_1,PPID_2,PPID_3,PPID_4,CHECK,CHECK_6_TEXT,BEN_3_1,BEN_3_2,BEN_3_3,IMM_3_1,IMM_3_2,IMM_3_3,TRUMP_ECON_3_1,TRUMP_ECON_3_2,TRUMP_ECON_3_3,FAIR,BIASED,TRUST,AGREE,CIVIL_FAIR,CIVIL_BIASED,CIVIL_TRUST,CIVIL_AGREE,FACTS_FAIR,FACTS_BIASED,FACTS_TRUST,FACTS_AGREE,DEC_FAIR,DEC_BIASED,DEC_TRUST,DEC_AGREE,IMM_AGREE,IMM_QUALITY,IMM_CRED,IMM_BIASED,BEN_AGREE,BEN_QUALITY,BEN_CRED,BEN_BIASED,TE_AGREE,TE_QUALITY,TE_CRED,TE_BIASED,OPEN,AGE,RELIGION,RELIGION_11_TEXT,BORN_AGAIN,INCOME,condition,pro,pid,psid,screen,caps_person_mod,lc_moderator,caps_moderator,lc_trained,lc_person,lc_journo,lc_journo_verb,lc_person_pronoun,lc_no_artilce,lc_analysis,lc_person_pronoun_no_article,lc_write_gen,lc_write_gen_post,lc_this_person,lc_wrote_gen_post,lc_generating,lc_this_mod,party,own_imm_lib,own_ben_lib,own_trump_lib,imm_lib,ben_lib,trump_lib
11/27/2019 16:26,11/27/2019 16:27,0,72.214.240.138,100,42,1,11/27/2019 16:27,R_uaciggAWv3wGpVv,,,,,34.42649841,-119.8630981,anonymous,EN,1,1,7,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1503903276,KS_G9QDMwM3Aj9tRgiOu_g**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:26,11/27/2019 16:27,0,73.183.83.49,100,40,1,11/27/2019 16:27,R_9YVB7hrAmHuwehb,,,,,40.07519531,-80.77469635,anonymous,EN,1,2,7,6,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1340168015,KS_G9QDMwM0KR-n_iVZp-w**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:27,11/27/2019 16:27,0,96.59.63.205,100,43,1,11/27/2019 16:27,R_DkmDWmu4vbrdS3D,,,,,28.21369934,-82.68090057,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1503840802,KS_G9QDMwM1lEcCaZNpcOg**,no_consent,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:26,11/27/2019 16:28,0,73.53.87.50,100,101,1,11/27/2019 16:28,R_3ht4SaEc6Ie3Hvb,,,,,47.21090698,-122.4147034,anonymous,EN,1,1,7,6,,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1502960847,KS_G9QDMwM3fbORVxrIaCw**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:26,11/27/2019 16:38,0,70.59.224.141,100,681,1,11/27/2019 16:38,R_1FQW0GRGyd9ZndV,,,,,33.62860107,-112.3324966,anonymous,EN,1,1,5,6,,6,3,4,2,3,1,4,"1,3,4,5,6,7,8,9,10",20,6,4,6,3,5,3,2,,10,4,2,3,5,4,5,7,9,6,7,5,7,6,7,6,7,4,3,1,4,4,5,4,5,3,4,4,5,5,4,4,5,4,4,4,4,,70,10,,,18,2,1,1415832754,KS_G9QDMwM2hfMf3us8LJw**,,A person moderating the discussions,a moderator,A moderator,a trained person,a person,editors and journalists,editors and journalists are,a person who,person,an analysis,person who,written,written and posted,a person,wrote and posted,posting,a moderator,independent,4,5.333333333,7,1,1,0
11/27/2019 16:39,11/27/2019 16:39,0,74.73.137.155,100,4,1,11/27/2019 16:39,R_21AILwHOarOomzq,,,,,40.71490479,-73.98930359,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1289187985,KS_G9QDMwM2-7Ag1Y_CXBA**,no_consent,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:26,11/27/2019 16:39,0,70.176.140.58,100,769,1,11/27/2019 16:39,R_87KmEPl9OGgmg8x,,,,,33.71470642,-112.240097,anonymous,EN,1,1,5,6,,6,3,3,1,3,1,1,"1,2,3,4,5,6,7,8,9,10",21,3,2,6,5,6,6,2,,3,4,1,2,5,1,3,3,3,4,5,3,4,4,5,4,4,3,3,4,4,5,5,5,6,6,6,6,5,6,7,7,5,5,6,6,5,,77,9,,,21,3,1,1502102721,KS_G9QDMwM32OUw-_iTKMw**,,An AI-assisted person who is trained to moderate discussions,a moderator aided by AI,A moderator aided by AI,a trained person aided by AI,a person aided by AI,editors and journalists aided by AI,editors and journalists aided by AI are,a person assisted by an AI who,AI-assisted person,an analysis of computational models,person assisted by an AI who,created,generated and posted,an AI-assisted person,generated and posted,generating,an AI-assisted moderator,Democrat,2.666666667,2.666666667,3,1,1,1
11/27/2019 16:39,11/27/2019 16:40,0,208.91.47.64,100,40,1,11/27/2019 16:40,R_1K9JeSo6KO5rDjQ,,,,,46.70449829,-92.09500122,anonymous,EN,1,1,6,6,,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1502781770,KS_G9QDMwM3WwNvhAqg4YQ**,no_comment_or_social,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2019 16:26,11/27/2019 16:40,0,73.202.2.34,100,812,1,11/27/2019 16:40,R_1d4sDFZz9tlWqFQ,,,,,37.06089783,-122.0197983,anonymous,EN,1,2,3,6,,5,3,4,2,2,5,1,"1,2,7,8,9,10",4,3,4,4,4,4,2,2,,7,5,3,2,3,2,1,1,1,4,4,1,4,4,4,3,4,3,4,2,4,4,4,2,4,4,3,4,4,7,4,4,4,7,4,4,4,,58,11,Pagan,,3,1,1,1072555242,KS_G9QDMwM03gTxYHS3PEA**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,independent,2.333333333,5,1,1,1,1
11/27/2019 16:39,11/27/2019 16:41,0,24.13.133.63,100,143,1,11/27/2019 16:41,R_3dY5i7a83u9yaER,,,,,42.35400391,-87.86750031,anonymous,EN,1,1,6,6,,5,4,3,3,3,5,2,11,7,6,1,4,5,4,4,3,,10,8,7,7,4,9,9,6,9,4,4,3,4,4,5,4,4,5,4,3,4,6,5,4,4,4,6,4,3,3,2,3,5,3,2,4,4,,59,1,,2,23,1,1,1340993832,KS_G9QDMwM1OLl5OhSJPKw**,,An AI trained to moderate discussions,an AI trained to moderate,An AI trained to moderate,a trained AI,an AI,an AI,an AI is,an AI that,AI,computational models,AI that,generated,generated and posted,an AI,generated and posted,generating,an AI,Democrat,6.666666667,8.333333333,8,1,0,0
